strategy,timeframe,instrument,year,month,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
T3,M30,USDRUBF,2023,1,1,,2.7449989655,2.7449989655,0,,1
T3,M30,USDRUBF,2023,2,6,5.08441374914,1.05907558335,6.35445350008,-0.607958953924,10.4521094049,0.333333333333
T3,M30,USDRUBF,2023,3,5,4.05890699994,0.674821917512,3.37410958756,-1.01364211492,3.328699092,0.6
T3,M30,USDRUBF,2023,4,6,2.98889271392,0.936871217507,5.62122730504,-2.82630996922,1.98889271392,0.5
T3,M30,USDRUBF,2023,5,4,2.83029429549,0.464758134512,1.85903253805,-1.01570143262,1.83029429549,0.75
T3,M30,USDRUBF,2023,6,5,0.217919536156,-0.358332231499,-1.7916611575,-2.28578885025,-0.78382618644,0.2
T3,M30,USDRUBF,2023,7,3,3.45922933143,0.643877670501,1.9316330115,-0.785462741036,2.45922933143,0.333333333333
T3,M30,USDRUBF,2023,8,9,2.05317943489,0.275479177096,2.47931259386,-1.00715920355,2.46168886221,0.666666666667
T3,M30,USDRUBF,2023,9,4,1.15880494804,0.0543702258486,0.217480903394,-1.36948442776,0.158804948042,0.5
T3,M30,USDRUBF,2023,10,7,41.7067774033,1.36920886758,9.58446207309,-0.235451261055,40.7067774033,0.857142857143
T3,M30,USDRUBF,2023,11,4,4.29359691732,1.57915839442,6.31663357767,-1.00824235434,6.26499526673,0.5
T3,M30,USDRUBF,2023,12,7,1.32944941916,0.227402158799,1.59181511159,-4.80732720716,0.331122688969,0.285714285714
T3,M30,USDRUBF,2024,1,5,3.97815027789,0.379691674988,1.89845837494,-0.637462249316,2.97815027789,0.8
T3,M30,USDRUBF,2024,2,6,0.290925877912,-0.402765244838,-2.41659146903,-2.5048423285,-0.964767898377,0.333333333333
T3,M30,USDRUBF,2024,3,3,1.44062006126,0.172896712578,0.518690137733,-1.17718230136,0.440620061256,0.333333333333
T3,M30,USDRUBF,2024,4,8,1.30455900153,0.152239606768,1.21791685414,-2.97817883475,0.408946850314,0.5
T3,M30,USDRUBF,2024,5,5,0.510373710641,-0.167002312478,-0.835011562389,-1.3340304521,-0.625931410391,0.6
T3,M30,USDRUBF,2024,6,3,9.62525538983,2.43585445851,7.30756337554,-0.847228637908,8.62525538983,0.666666666667
T3,M30,USDRUBF,2024,7,2,6.13692532593,1.23418471459,2.46836942918,-0.480514952539,5.13692532593,0.5
T3,M30,USDRUBF,2024,8,5,2.14281639801,0.419179705104,2.09589852552,-1.00755240423,2.08018810409,0.4
T3,M30,USDRUBF,2024,9,5,1.40832857967,0.210216203198,1.05108101599,-1.56199765737,0.672908189733,0.4
T3,M30,USDRUBF,2024,10,7,3.2559820776,0.653204563627,4.57243194539,-1.0170475843,4.4957895933,0.714285714286
T3,M30,USDRUBF,2024,11,8,2.90267296497,0.860710822247,6.88568657798,-2.41202233482,2.85473582835,0.375
T3,M30,USDRUBF,2024,12,4,0.702547477347,-0.185286398452,-0.741145593806,-2.49164332915,-0.297452522653,0.25
T3,M30,CNYRUBF,2023,1,1,,1.63555206122,1.63555206122,0,,1
T3,M30,CNYRUBF,2023,2,6,0.276632151712,-0.419874054614,-2.51924432768,-3.48266007902,-0.723367848288,0.166666666667
T3,M30,CNYRUBF,2023,3,3,0.358527219341,-0.457807946239,-1.37342383872,-2.14104772662,-0.641472780659,0.333333333333
T3,M30,CNYRUBF,2023,4,5,10.8653717543,1.92529129969,9.62645649847,-0.975782437625,9.86537175427,0.8
T3,M30,CNYRUBF,2023,5,7,0.691132632569,-0.206089591957,-1.4426271437,-2.50005347134,-0.57703851547,0.142857142857
T3,M30,CNYRUBF,2023,6,5,0.914743303522,-0.0362666251768,-0.181333125884,-1.50159870107,-0.120760044448,0.6
T3,M30,CNYRUBF,2023,7,4,2.7367094825,0.449094823166,1.79637929267,-1.03435796877,1.7367094825,0.75
T3,M30,CNYRUBF,2023,8,10,0.750669658683,-0.113436483751,-1.13436483751,-2.37129497876,-0.478373567048,0.4
T3,M30,CNYRUBF,2023,9,3,1.53047274091,0.280760801545,0.842282404636,-0.827364111392,1.01803110993,0.333333333333
T3,M30,CNYRUBF,2023,10,9,1.77177459751,0.280774132086,2.52696718878,-2.29914895402,1.09908807098,0.444444444444
T3,M30,CNYRUBF,2023,11,5,0.898087428675,-0.0447689885031,-0.223844942516,-1.1376075637,-0.196768155961,0.4
T3,M30,CNYRUBF,2023,12,3,8.6335030427,2.95050235237,8.8515070571,-1.15956029723,7.6335030427,0.333333333333
T3,M30,CNYRUBF,2024,1,2,1.41198018949,0.112543728129,0.225087456259,-0.546355048136,0.411980189488,0.5
T3,M30,CNYRUBF,2024,2,8,0.0894730084436,-0.663596432324,-5.30877145859,-5.63163412771,-0.942669807414,0.25
T3,M30,CNYRUBF,2024,3,2,0.617604358865,-0.108452718263,-0.216905436526,-0.567227795489,-0.382395641135,0.5
T3,M30,CNYRUBF,2024,4,5,1.91548191542,0.395274406331,1.97637203166,-2.15883241206,0.915481915419,0.6
T3,M30,CNYRUBF,2024,5,6,0.211301988114,-0.49993304456,-2.99959826736,-2.99959826736,-1,0.333333333333
T3,M30,CNYRUBF,2024,6,5,2.31648423,0.889027096222,4.44513548111,-2.56840979745,1.73069557885,0.2
T3,M30,CNYRUBF,2024,7,3,0,-0.687430942094,-2.06229282628,-2.06229282628,-1,0
T3,M30,CNYRUBF,2024,8,5,0.970631558638,-0.0110566769725,-0.0552833848627,-1.88240786021,-0.0293684413624,0.4
T3,M30,CNYRUBF,2024,9,11,0.638555140244,-0.147300845049,-1.62030929554,-2.08710737291,-0.776342087889,0.272727272727
T3,M30,CNYRUBF,2024,10,2,,0.805177544325,1.61035508865,0,,1
T3,M30,CNYRUBF,2024,11,6,4.09580065583,1.53510154153,9.21060924917,-1.08273404169,8.50680674523,0.5
T3,M30,CNYRUBF,2024,12,3,2.44225050675,0.661408204533,1.9842246136,-1.3757836134,1.44225050675,0.333333333333
T3,M30,GLDRUBF,2023,7,0,,,0,0,,
T3,M30,GLDRUBF,2023,8,7,2.69511965379,0.678448700774,4.74914090542,-1.31060596281,3.62362223291,0.571428571429
T3,M30,GLDRUBF,2023,9,3,1.49923464239,0.280737280954,0.842211842862,-1.6870060115,0.499234642391,0.333333333333
T3,M30,GLDRUBF,2023,10,6,0,-0.582735104342,-3.49641062605,-3.49641062605,-1,0
T3,M30,GLDRUBF,2023,11,3,2.09648924636,0.184385695899,0.553157087698,-0.504480175739,1.09648924636,0.666666666667
T3,M30,GLDRUBF,2023,12,7,0.816887854146,-0.104420175917,-0.730941231419,-3.05417066074,-0.239325601813,0.285714285714
