level_family_id,level_snapshot_id,snapshot_version,instrument,level_type,level_price,valid_from,first_touch,last_touch,touch_count,touch_times,tolerance_ticks,min_touches,round_confluence,historical,mirror,source_pivot_ids,source_sides,known_index,level_id,price,known_time
CNYRUBF-L37,CNYRUBF-L37-V1,1,CNYRUBF,EL,11.3185,2026-01-06 18:35:00+03:00,2026-01-06 17:50:00+03:00,2026-01-06 18:25:00+03:00,2,2026-01-06 17:50:00+03:00|2026-01-06 18:25:00+03:00,2,2,False,False,False,88|91,LOW|LOW,261,CNYRUBF-L37-V1,11.3185,2026-01-06 18:35:00+03:00
CNYRUBF-L40,CNYRUBF-L40-V1,1,CNYRUBF,EH,11.334,2026-01-06 18:50:00+03:00,2026-01-06 18:30:00+03:00,2026-01-06 18:40:00+03:00,2,2026-01-06 18:30:00+03:00|2026-01-06 18:40:00+03:00,2,2,False,False,False,92|94,HIGH|HIGH,264,CNYRUBF-L40-V1,11.334,2026-01-06 18:50:00+03:00
CNYRUBF-L38,CNYRUBF-L38-V1,1,CNYRUBF,EL,11.312,2026-01-06 19:20:00+03:00,2026-01-06 18:05:00+03:00,2026-01-06 19:10:00+03:00,2,2026-01-06 18:05:00+03:00|2026-01-06 19:10:00+03:00,2,2,False,False,False,89|95,LOW|LOW,267,CNYRUBF-L38-V1,11.312,2026-01-06 19:20:00+03:00
CNYRUBF-L44,CNYRUBF-L44-V1,1,CNYRUBF,MIRROR,11.3265,2026-01-06 21:25:00+03:00,2026-01-06 20:15:00+03:00,2026-01-06 20:50:00+03:00,2,2026-01-06 20:15:00+03:00|2026-01-06 20:50:00+03:00,2,2,False,False,True,98|102,HIGH|LOW,282,CNYRUBF-L44-V1,11.3265,2026-01-06 21:25:00+03:00
CNYRUBF-L46,CNYRUBF-L46-V1,1,CNYRUBF,EH,11.3305,2026-01-06 22:10:00+03:00,2026-01-06 20:40:00+03:00,2026-01-06 21:25:00+03:00,2,2026-01-06 20:40:00+03:00|2026-01-06 21:25:00+03:00,2,2,False,False,False,100|103,HIGH|HIGH,284,CNYRUBF-L46-V1,11.3305,2026-01-06 22:10:00+03:00
CNYRUBF-L42,CNYRUBF-L42-V1,1,CNYRUBF,MIRROR,11.324,2026-01-06 23:40:00+03:00,2026-01-06 19:20:00+03:00,2026-01-06 22:10:00+03:00,2,2026-01-06 19:20:00+03:00|2026-01-06 22:10:00+03:00,2,2,False,False,True,96|104,HIGH|LOW,286,CNYRUBF-L42-V1,11.324,2026-01-06 23:40:00+03:00
CNYRUBF-L37,CNYRUBF-L37-V2,2,CNYRUBF,EL,11.318,2026-01-08 09:10:00+03:00,2026-01-06 17:50:00+03:00,2026-01-06 23:50:00+03:00,3,2026-01-06 17:50:00+03:00|2026-01-06 18:25:00+03:00|2026-01-06 23:50:00+03:00,2,2,False,True,False,88|91|105,LOW|LOW|LOW,290,CNYRUBF-L37-V2,11.318,2026-01-08 09:10:00+03:00
CNYRUBF-L47,CNYRUBF-L47-V1,1,CNYRUBF,MIRROR,11.3315,2026-01-08 09:30:00+03:00,2026-01-06 20:45:00+03:00,2026-01-08 09:20:00+03:00,2,2026-01-06 20:45:00+03:00|2026-01-08 09:20:00+03:00,2,2,False,True,True,101|107,HIGH|LOW,294,CNYRUBF-L47-V1,11.3315,2026-01-08 09:30:00+03:00
CNYRUBF-L48,CNYRUBF-L48-V1,1,CNYRUBF,EH,11.369499999999999,2026-01-08 10:15:00+03:00,2026-01-08 09:05:00+03:00,2026-01-08 10:05:00+03:00,2,2026-01-08 09:05:00+03:00|2026-01-08 10:05:00+03:00,2,2,False,False,False,106|112,HIGH|HIGH,303,CNYRUBF-L48-V1,11.369499999999999,2026-01-08 10:15:00+03:00
CNYRUBF-L53,CNYRUBF-L53-V1,1,CNYRUBF,EL,11.296,2026-01-08 10:35:00+03:00,2026-01-08 10:15:00+03:00,2026-01-08 10:25:00+03:00,2,2026-01-08 10:15:00+03:00|2026-01-08 10:25:00+03:00,2,2,False,False,False,113|114,LOW|LOW,307,CNYRUBF-L53-V1,11.296,2026-01-08 10:35:00+03:00
