generation,lifecycle_stage,strategy,timeframe,calendar_month,observed_years,trades,net_R,average_R_per_year,median_R_per_year,positive_year_count,negative_year_count,positive_year_share
v3,true_oos,T2,H1,September,2,16,2.27790115988,1.13895057994,1.13895057994,1,1,0.5
v3,true_oos,T2,H1,October,1,12,5.46185310996,5.46185310996,5.46185310996,1,0,1
v3,true_oos,T2,H1,November,1,9,2.25112447557,2.25112447557,2.25112447557,1,0,1
v3,true_oos,T2,H1,December,1,11,-0.290011476759,-0.290011476759,-0.290011476759,0,1,0
v3,development,T3,M30,January,2,16,6.06542392229,3.03271196114,3.03271196114,2,0,1
v3,development,T3,M30,February,2,40,-5.15205185377,-2.57602592689,-2.57602592689,1,1,0.5
v3,development,T3,M30,March,2,24,2.15007396746,1.07503698373,1.07503698373,2,0,1
v3,development,T3,M30,April,2,34,29.7230405772,14.8615202886,14.8615202886,2,0,1
v3,development,T3,M30,May,2,31,-5.21503904335,-2.60751952168,-2.60751952168,1,1,0.5
v3,development,T3,M30,June,2,31,14.8893895702,7.44469478512,7.44469478512,1,1,0.5
v3,development,T3,M30,July,2,22,12.146173833,6.07308691651,6.07308691651,2,0,1
v3,development,T3,M30,August,2,50,11.0701547988,5.53507739941,5.53507739941,2,0,1
v3,development,T3,M30,September,2,33,9.4775155729,4.73875778645,4.73875778645,2,0,1
v3,development,T3,M30,October,2,42,13.3839020958,6.6919510479,6.6919510479,2,0,1
v3,development,T3,M30,November,2,39,34.2757257522,17.1378628761,17.1378628761,2,0,1
v3,development,T3,M30,December,2,36,7.62093570103,3.81046785051,3.81046785051,1,1,0.5
v3,walk_forward,T3,M30,January,1,5,0.462449678819,0.462449678819,0.462449678819,1,0,1
v3,walk_forward,T3,M30,February,1,25,-9.98676947601,-9.98676947601,-9.98676947601,0,1,0
v3,walk_forward,T3,M30,March,1,11,1.19386737601,1.19386737601,1.19386737601,1,0,1
v3,walk_forward,T3,M30,April,1,7,0.734079709707,0.734079709707,0.734079709707,1,0,1
v3,walk_forward,T3,M30,May,1,21,-7.52841825399,-7.52841825399,-7.52841825399,0,1,0
v3,walk_forward,T3,M30,June,1,18,14.9251168358,14.9251168358,14.9251168358,1,0,1
v3,walk_forward,T3,M30,July,1,5,1.3276325362,1.3276325362,1.3276325362,1,0,1
v3,walk_forward,T3,M30,August,1,20,3.50101032935,3.50101032935,3.50101032935,1,0,1
v3,walk_forward,T3,M30,September,1,22,7.13062583795,7.13062583795,7.13062583795,1,0,1
v3,walk_forward,T3,M30,October,1,4,2.65938019246,2.65938019246,2.65938019246,1,0,1
v3,walk_forward,T3,M30,November,1,23,30.4758907122,30.4758907122,30.4758907122,1,0,1
v3,walk_forward,T3,M30,December,1,10,1.77100902979,1.77100902979,1.77100902979,1,0,1
v3,true_oos,T3,M30,January,2,19,7.36015089253,3.68007544626,3.68007544626,1,1,0.5
v3,true_oos,T3,M30,February,2,30,7.57847973215,3.78923986607,3.78923986607,1,1,0.5
v3,true_oos,T3,M30,March,2,35,11.5095911837,5.75479559185,5.75479559185,1,1,0.5
v3,true_oos,T3,M30,April,2,31,6.67823614699,3.33911807349,3.33911807349,1,1,0.5
v3,true_oos,T3,M30,May,2,36,9.9600339245,4.98001696225,4.98001696225,1,1,0.5
v3,true_oos,T3,M30,June,2,38,10.6202245617,5.31011228085,5.31011228085,1,1,0.5
v3,true_oos,T3,M30,July,2,48,23.393009864,11.696504932,11.696504932,1,1,0.5
v3,true_oos,T3,M30,August,2,40,26.333017286,13.166508643,13.166508643,2,0,1
v3,true_oos,T3,M30,September,2,38,44.5281402284,22.2640701142,22.2640701142,1,1,0.5
v3,true_oos,T3,M30,October,1,25,7.83978997675,7.83978997675,7.83978997675,1,0,1
v3,true_oos,T3,M30,November,1,12,3.24529456942,3.24529456942,3.24529456942,1,0,1
v3,true_oos,T3,M30,December,1,17,-2.57380918759,-2.57380918759,-2.57380918759,0,1,0
v3,development,T3,H1,January,1,7,0.154496910269,0.154496910269,0.154496910269,1,0,1
v3,development,T3,H1,February,2,15,-5.66828178009,-2.83414089005,-2.83414089005,0,2,0
v3,development,T3,H1,March,2,11,1.62092841546,0.810464207729,0.810464207729,1,1,0.5
v3,development,T3,H1,April,2,20,16.8450700368,8.42253501841,8.42253501841,2,0,1
v3,development,T3,H1,May,2,17,3.02310987013,1.51155493507,1.51155493507,1,1,0.5
v3,development,T3,H1,June,2,21,30.7312658998,15.3656329499,15.3656329499,2,0,1
v3,development,T3,H1,July,2,9,2.81520134842,1.40760067421,1.40760067421,1,1,0.5
v3,development,T3,H1,August,2,26,5.13424569081,2.5671228454,2.5671228454,1,1,0.5
v3,development,T3,H1,September,2,12,3.37354090201,1.68677045101,1.68677045101,1,1,0.5
v3,development,T3,H1,October,2,14,4.24121928571,2.12060964285,2.12060964285,1,1,0.5
v3,development,T3,H1,November,2,19,19.0733267055,9.53666335273,9.53666335273,2,0,1
v3,development,T3,H1,December,2,13,0.829094877215,0.414547438607,0.414547438607,1,1,0.5
v3,walk_forward,T3,H1,February,1,5,-1.61593806101,-1.61593806101,-1.61593806101,0,1,0
v3,walk_forward,T3,H1,March,1,8,2.17212651272,2.17212651272,2.17212651272,1,0,1
v3,walk_forward,T3,H1,May,1,7,2.00615463579,2.00615463579,2.00615463579,1,0,1
v3,walk_forward,T3,H1,June,1,13,20.856357902,20.856357902,20.856357902,1,0,1
v3,walk_forward,T3,H1,August,1,9,0.189703147885,0.189703147885,0.189703147885,1,0,1
v3,walk_forward,T3,H1,September,1,9,4.44587050811,4.44587050811,4.44587050811,1,0,1
v3,walk_forward,T3,H1,November,1,11,10.3126221216,10.3126221216,10.3126221216,1,0,1
v3,walk_forward,T3,H1,December,1,4,-0.0737476743824,-0.0737476743824,-0.0737476743824,0,1,0
v3,true_oos,T3,H1,January,1,11,6.06731805694,6.06731805694,6.06731805694,1,0,1
v3,true_oos,T3,H1,February,2,7,-2.25183583865,-1.12591791932,-1.12591791932,1,1,0.5
v3,true_oos,T3,H1,March,2,21,16.4104743038,8.20523715188,8.20523715188,2,0,1
v3,true_oos,T3,H1,April,2,19,-1.73069813502,-0.865349067512,-0.865349067512,1,1,0.5
v3,true_oos,T3,H1,May,2,13,1.87473084508,0.937365422539,0.937365422539,2,0,1
v3,true_oos,T3,H1,June,2,17,10.4878986638,5.24394933192,5.24394933192,1,1,0.5
v3,true_oos,T3,H1,July,2,21,3.68784367311,1.84392183655,1.84392183655,1,1,0.5
v3,true_oos,T3,H1,August,2,23,25.0810091275,12.5405045638,12.5405045638,1,1,0.5
v3,true_oos,T3,H1,September,2,23,24.1201578526,12.0600789263,12.0600789263,1,1,0.5
v3,true_oos,T3,H1,October,1,22,9.7032246593,9.7032246593,9.7032246593,1,0,1
v3,true_oos,T3,H1,November,1,8,-5.02517283863,-5.02517283863,-5.02517283863,0,1,0
v3,true_oos,T3,H1,December,1,14,-3.99389584955,-3.99389584955,-3.99389584955,0,1,0
