variant,month,trades,PF,net_R,positive_months,negative_months,largest_losing_month_R,largest_winning_month_R
SESSION_EMA50_NORMAL,2024-05,6,3.66885174828,8.21102142563,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2024-06,5,0.313305575735,-1.76201219248,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2024-07,10,0.172585776128,-5.79020944568,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2024-08,14,1.6171723929,3.45897205587,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2024-09,15,1.45967380162,4.3683598497,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2024-10,11,0.107783280187,-6.38557405118,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2024-11,13,6.49275509451,25.7853917223,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2024-12,9,2.76053342721,5.45813174277,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_EXTENDED,2023-01,24,0.455757642595,-7.15569248916,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2023-02,31,1.86591431658,12.166681101,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2023-03,33,1.03396502383,0.687977188405,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2023-04,27,2.32308591011,21.6621033416,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2023-05,36,1.18983842833,3.01176176138,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2023-06,38,1.61636972469,11.1137593611,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2023-07,38,0.935565887163,-1.23644435379,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2023-08,35,2.64978828345,16.8576494732,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2023-09,41,0.536060078215,-11.8166230041,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2023-10,47,1.84619613347,16.7541474128,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2023-11,47,0.747307016232,-6.71592644669,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2023-12,71,1.56290813459,19.8515546296,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2024-01,44,1.18149629858,4.61388392179,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2024-02,38,0.388926221802,-14.858372338,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2024-03,44,1.81296042309,15.6981520725,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2024-04,58,0.655423116947,-12.2133934786,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2024-05,66,1.37857926074,13.6317098944,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2024-06,41,1.93701367709,15.3475697005,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2024-07,51,0.536026153609,-13.0633588209,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2024-08,57,0.376590298316,-21.0863834848,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2024-09,55,1.11695745294,3.34602504739,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2024-10,49,0.808800218954,-4.3629055543,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2024-11,41,2.14736206901,19.6948662045,15,9,-21.0863834848,27.3849041391
SESSION_EMA50_EXTENDED,2024-12,59,2.11323217502,27.3849041391,15,9,-21.0863834848,27.3849041391
