portfolio_id,exit_time,strategy,trade_id,trade_R,cumulative_R
C,2025-12-12T16:00:00+00:00,T3,CNY-000024,-0.477438644615,15.6638717408
C,2025-12-12T16:00:00+00:00,T3,Si-000024,-0.50050086857,15.1633708722
C,2025-12-17T15:00:00+00:00,T2,Si-000020,0.360274104694,15.5236449769
C,2025-12-19T10:00:00+00:00,T2,CNY-000018,0.361314644472,15.8849596214
C,2025-12-24T10:00:00+00:00,T3,Si-000025,-0.464450338794,15.4205092826
C,2025-12-26T08:00:00+00:00,T2,Si-000021,0.275178047842,15.6956873304
C,2025-12-26T08:00:00+00:00,T3,CNY-000025,0.11208077047,15.8077681009
C,2025-12-29T08:00:00+00:00,T2,CNY-000019,-0.299060387481,15.5087077134
C,2025-12-29T08:00:00+00:00,T2,Si-000022,-0.23563087634,15.2730768371
C,2026-01-06T08:00:00+00:00,T3,CNY-000026,0.572804057725,15.8458808948
C,2026-01-16T15:00:00+00:00,T2,Si-000023,0.292758531893,16.1386394267
C,2026-01-23T09:00:00+00:00,T3,CNY-000027,-0.0370585726394,16.1015808541
C,2026-01-23T09:00:00+00:00,T3,Si-000026,-0.0963816934325,16.0051991606
C,2026-01-30T07:00:00+00:00,T3,Si-000027,-0.120964945449,15.8842342152
C,2026-02-04T09:00:00+00:00,T3,CNY-000028,-0.371589634561,15.5126445806
C,2026-02-05T10:00:00+00:00,T3,Si-000028,-0.44514652904,15.0674980516
C,2026-02-10T09:00:00+00:00,T2,CNY-000020,0.0910735244425,15.158571576
C,2026-02-20T09:00:00+00:00,T2,CNY-000021,-0.301336691704,14.8572348843
C,2026-02-20T09:00:00+00:00,T2,Si-000024,-0.372158258435,14.4850766259
C,2026-02-26T08:00:00+00:00,T3,CNY-000029,-0.515673168715,13.9694034572
C,2026-03-06T16:00:00+00:00,T3,CNY-000030,-0.152169662712,13.8172337944
C,2026-03-06T16:00:00+00:00,T3,Si-000029,0.077553555219,13.8947873497
C,2026-03-12T07:00:00+00:00,T3,CNY-000031,0.116733121701,14.0115204714
C,2026-03-18T11:00:00+00:00,T3,CNY-000032,1.47829346469,15.4898139361
C,2026-03-18T11:00:00+00:00,T3,Si-000030,3.61925347082,19.1090674069
C,2026-03-19T10:00:00+00:00,T3,CNY-000033,0.77151571217,19.880583119
C,2026-03-19T11:00:00+00:00,T3,Si-000031,0.767115412645,20.6476985317
C,2026-03-26T11:00:00+00:00,T3,CNY-000034,0.498081153688,21.1457796854
C,2026-03-26T14:00:00+00:00,T3,Si-000032,0.448760594021,21.5945402794
C,2026-04-07T10:00:00+00:00,T2,CNY-000022,-0.366678799595,21.2278614798
C,2026-04-15T11:00:00+00:00,T2,Si-000025,6.49661404295,27.7244755228
C,2026-04-21T11:00:00+00:00,T3,CNY-000035,0.531032118685,28.2555076414
C,2026-04-21T11:00:00+00:00,T3,Si-000033,0.642521298485,28.8980289399
C,2026-04-23T11:00:00+00:00,T2,Si-000026,-0.272132790099,28.6258961498
C,2026-04-23T13:00:00+00:00,T2,CNY-000023,-0.287977704893,28.3379184449
C,2026-04-30T08:00:00+00:00,T3,Si-000034,-0.43036467331,27.9075537716
C,2026-04-30T15:00:00+00:00,T2,CNY-000024,-0.330160109759,27.5773936619
C,2026-05-13T13:00:00+00:00,T2,CNY-000025,0.111957904086,27.6893515659
C,2026-05-13T14:00:00+00:00,T2,Si-000027,0.174143772285,27.8634953382
C,2026-05-20T08:00:00+00:00,T3,CNY-000036,0.771131333855,28.6346266721
C,2026-05-20T08:00:00+00:00,T3,Si-000035,0.480695839606,29.1153225117
C,2026-05-28T07:00:00+00:00,T3,CNY-000037,-0.111757884719,29.003564627
C,2026-05-28T07:00:00+00:00,T3,Si-000036,-0.148539789247,28.8550248377
C,2026-06-04T14:00:00+00:00,T3,CNY-000038,-0.339930812674,28.5150940251
C,2026-06-04T14:00:00+00:00,T3,Si-000037,-0.290904346056,28.224189679
C,2026-06-10T08:00:00+00:00,T3,CNY-000039,0.0303018584314,28.2544915374
C,2026-06-10T08:00:00+00:00,T3,Si-000038,0.0972039545055,28.3516954919
C,2026-06-23T09:00:00+00:00,T3,CNY-000040,-0.0290772322359,28.3226182597
C,2026-06-23T11:00:00+00:00,T2,Si-000028,1.40557175559,29.7281900153
C,2026-06-23T11:00:00+00:00,T3,Si-000039,-0.16748253182,29.5607074835
C,2026-06-26T17:00:00+00:00,T3,CNY-000041,1.97684775175,31.5375552352
C,2026-06-26T17:00:00+00:00,T3,Si-000040,1.74671034514,33.2842655804
C,2026-06-29T15:00:00+00:00,T2,CNY-000026,-0.50872552906,32.7755400513
C,2026-06-29T15:00:00+00:00,T2,Si-000029,-0.501456914675,32.2740831366
C,2026-07-01T08:00:00+00:00,T3,CNY-000042,-0.242167007029,32.0319161296
C,2026-07-01T08:00:00+00:00,T3,Si-000041,-0.266132575024,31.7657835546
C,2026-07-13T19:00:00+00:00,T2,CNY-000027,-0.51898316402,31.2468003905
C,2026-07-15T14:00:00+00:00,T2,Si-000030,0.7661269445,32.012927335
C,2026-07-17T07:00:00+00:00,T2,CNY-000028,-0.175619287042,31.837308048
C,2026-07-27T14:00:00+00:00,T2,Si-000031,-0.309617108993,31.527690939
C,2026-07-30T14:00:00+00:00,T2,Si-000032,2.49952810356,34.0272190426
C,2026-07-30T14:00:00+00:00,T3,Si-000042,-0.266280624211,33.7609384184
C,2026-07-30T16:00:00+00:00,T2,CNY-000029,3.63819296338,37.3991313817
C,2026-07-30T16:00:00+00:00,T3,CNY-000043,-0.028982995535,37.3701483862
C,2026-07-31T14:00:00+00:00,T2,CNY-000030,-0.51644853512,36.8536998511
C,2026-08-04T17:00:00+00:00,T3,CNY-000044,0.8375329568,37.6912328079
C,2026-08-04T17:00:00+00:00,T3,Si-000043,0.950013138875,38.6412459468
C,2026-08-10T06:00:00+00:00,T3,CNY-000045,1.34647731059,39.9877232574
C,2026-08-10T08:00:00+00:00,T3,Si-000044,1.55263190008,41.5403551574
C,2026-08-10T16:00:00+00:00,T2,CNY-000031,-0.51564209134,41.0247130661
C,2026-08-10T16:00:00+00:00,T2,Si-000033,-0.502040382635,40.5226726835
C,2026-08-14T09:00:00+00:00,T3,CNY-000046,0.691800845605,41.2144735291
C,2026-08-14T09:00:00+00:00,T3,Si-000045,1.20397389067,42.4184474197
C,2026-08-17T06:00:00+00:00,T3,CNY-000047,-0.516030671865,41.9024167479
C,2026-08-17T21:00:00+00:00,T2,CNY-000032,0.236181845925,42.1385985938
C,2026-08-17T21:00:00+00:00,T3,CNY-000048,-0.160873581549,41.9777250122
C,2026-08-17T21:00:00+00:00,T3,Si-000046,0.222390604937,42.2001156172
C,2026-08-25T15:00:00+00:00,T2,Si-000034,0.60792371334,42.8080393305
C,2026-08-25T15:00:00+00:00,T3,Si-000047,-0.085898964819,42.7221403657
C,2026-08-28T07:00:00+00:00,T2,CNY-000033,2.32451337383,45.0466537395
C,2026-08-28T07:00:00+00:00,T2,Si-000035,2.51082117941,47.5574749189
C,2026-08-28T07:00:00+00:00,T3,CNY-000049,1.15925536054,48.7167302795
C,2026-08-28T07:00:00+00:00,T3,Si-000048,0.957095904195,49.6738261837
C,2026-08-30T16:00:00+00:00,T2,CNY-000034,0.370357993452,50.0441841771
D,2025-01-27T16:00:00+00:00,T2,CNY-000001,0.247818699043,0.247818699043
D,2025-01-28T07:00:00+00:00,T2,Si-000001,0.506650023348,0.754468722391
D,2025-01-31T15:00:00+00:00,T2,Si-000002,-0.484140499153,0.270328223238
D,2025-02-12T20:00:00+00:00,T3,CNY-000001,1.17378549644,1.44411371968
D,2025-02-12T20:00:00+00:00,T3,Si-000001,0.945016946616,2.3891306663
