generation,futures_type,lifecycle_stage,strategy,timeframe,YYYY-MM,instrument,coverage_start_date,instrument_available,partial_coverage_month,coverage_status,trades,net_R,positive_month,negative_month,zero_month
v2,quarterly,baseline,T2,M30,2022-08,Si,2020-01-01,true,false,AVAILABLE,3,1.88262760635,true,false,false
v2,quarterly,baseline,T2,M30,2022-08,CNY,2022-04-21,true,false,AVAILABLE,1,-0.441395097601,false,true,false
v2,quarterly,baseline,T2,M30,2022-08,GD,2020-01-01,true,false,AVAILABLE,7,2.90348118234,true,false,false
v2,quarterly,baseline,T2,M30,2022-08,BR,2020-01-01,true,false,AVAILABLE,3,-0.669911283118,false,true,false
v2,quarterly,baseline,T2,M30,2022-08,MIX,2020-01-01,true,false,AVAILABLE,7,-3.16599622742,false,true,false
v2,quarterly,baseline,T2,M30,2022-08,NG,2020-02-03,true,false,AVAILABLE,8,-2.34555920911,false,true,false
v2,quarterly,baseline,T2,M30,2022-09,Si,2020-01-01,true,false,AVAILABLE,4,7.27363764868,true,false,false
v2,quarterly,baseline,T2,M30,2022-09,CNY,2022-04-21,true,false,AVAILABLE,3,1.02343886129,true,false,false
v2,quarterly,baseline,T2,M30,2022-09,GD,2020-01-01,true,false,AVAILABLE,4,-0.575426896683,false,true,false
v2,quarterly,baseline,T2,M30,2022-09,BR,2020-01-01,true,false,AVAILABLE,6,-2.26137151866,false,true,false
v2,quarterly,baseline,T2,M30,2022-09,MIX,2020-01-01,true,false,AVAILABLE,4,-0.98892050465,false,true,false
v2,quarterly,baseline,T2,M30,2022-09,NG,2020-02-03,true,false,AVAILABLE,7,13.7875434833,true,false,false
v2,quarterly,baseline,T2,M30,2022-10,Si,2020-01-01,true,false,AVAILABLE,3,0.011027444894,true,false,false
v2,quarterly,baseline,T2,M30,2022-10,CNY,2022-04-21,true,false,AVAILABLE,3,-1.87099575636,false,true,false
v2,quarterly,baseline,T2,M30,2022-10,GD,2020-01-01,true,false,AVAILABLE,3,-2.19228844194,false,true,false
v2,quarterly,baseline,T2,M30,2022-10,BR,2020-01-01,true,false,AVAILABLE,6,-0.527232758142,false,true,false
v2,quarterly,baseline,T2,M30,2022-10,MIX,2020-01-01,true,false,AVAILABLE,7,3.46791849809,true,false,false
v2,quarterly,baseline,T2,M30,2022-10,NG,2020-02-03,true,false,AVAILABLE,3,-1.82937456894,false,true,false
v2,quarterly,baseline,T2,M30,2022-11,Si,2020-01-01,true,false,AVAILABLE,6,-5.56462501064,false,true,false
v2,quarterly,baseline,T2,M30,2022-11,CNY,2022-04-21,true,false,AVAILABLE,5,-1.10035801166,false,true,false
v2,quarterly,baseline,T2,M30,2022-11,GD,2020-01-01,true,false,AVAILABLE,4,-2.47775716447,false,true,false
v2,quarterly,baseline,T2,M30,2022-11,BR,2020-01-01,true,false,AVAILABLE,5,5.18278489323,true,false,false
v2,quarterly,baseline,T2,M30,2022-11,MIX,2020-01-01,true,false,AVAILABLE,3,-1.6768606714,false,true,false
v2,quarterly,baseline,T2,M30,2022-11,NG,2020-02-03,true,false,AVAILABLE,4,-4.01638659127,false,true,false
v2,quarterly,baseline,T2,M30,2022-12,Si,2020-01-01,true,false,NO_TRADES,0,0,false,false,true
v2,quarterly,baseline,T2,M30,2022-12,CNY,2022-04-21,true,false,AVAILABLE,2,3.99226307441,true,false,false
v2,quarterly,baseline,T2,M30,2022-12,GD,2020-01-01,true,false,AVAILABLE,4,-0.182017939343,false,true,false
v2,quarterly,baseline,T2,M30,2022-12,BR,2020-01-01,true,false,AVAILABLE,2,0.550499020448,true,false,false
v2,quarterly,baseline,T2,M30,2022-12,MIX,2020-01-01,true,false,AVAILABLE,4,0.749854805588,true,false,false
v2,quarterly,baseline,T2,M30,2022-12,NG,2020-02-03,true,false,AVAILABLE,5,6.24408320675,true,false,false
v2,quarterly,baseline,T2,M30,2023-01,Si,2020-01-01,true,false,AVAILABLE,4,3.68598796189,true,false,false
v2,quarterly,baseline,T2,M30,2023-01,CNY,2022-04-21,true,false,AVAILABLE,8,-3.49939303467,false,true,false
v2,quarterly,baseline,T2,M30,2023-01,GD,2020-01-01,true,false,AVAILABLE,5,-0.665004705701,false,true,false
v2,quarterly,baseline,T2,M30,2023-01,BR,2020-01-01,true,false,AVAILABLE,5,0.095668031881,true,false,false
