generation,futures_type,lifecycle_stage,strategy,timeframe,instrument_scope,source_family,source_path,source_sha256,source_schema_id,canonical_c1_field,trade_count,first_entry_time,last_exit_time,column_count,has_trade_id,has_direction,has_entry_time,has_exit_time,has_MAE,has_MFE,has_exit_reason,has_entry_price,has_exit_price,has_stop_field,has_holding_field,has_cost_field,has_gross_R_field
v2,quarterly,baseline,T3,H1,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T3/BR/H1/trades.csv,4fb2e966c2e63acafdf9c024ca79128eb9532d6fac0762e8dc2799258ec66727,V2_T3_BASELINE,net_R,131,2020-02-25T14:00:00+03:00,2024-10-30T12:00:00+03:00,29,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T3,H1,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T3/CNY/H1/trades.csv,fd66043bb1281cc3062fca3afbf0df932071846cf7af21bc4122020c1cd930ba,V2_T3_BASELINE,net_R,69,2022-07-11T17:00:00+03:00,2024-12-09T16:00:00+03:00,29,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T3,H1,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T3/GD/H1/trades.csv,53f31bc96611bae062e9deee6c8c30a315ec43498128bab698944ce43e92fdd1,V2_T3_BASELINE,net_R,114,2020-02-25T12:00:00+03:00,2024-11-26T17:00:00+03:00,29,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T3,H1,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T3/MIX/H1/trades.csv,93a5f06f02a5d88668c8b94a7ffa5c24d671d9635bb14fbf7e886d2160b7a47b,V2_T3_BASELINE,net_R,144,2020-02-27T16:00:00+03:00,2024-12-12T00:00:00+03:00,29,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T3,H1,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T3/NG/H1/trades.csv,d8c84c83087021c56188dc8bd7143256c27187a296272df7627ddc2263a1a9af,V2_T3_BASELINE,net_R,135,2020-04-07T19:00:00+03:00,2024-12-26T10:00:00+03:00,29,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T3,H1,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T3/Si/H1/trades.csv,8efa8c32b29fb42a8a04f11347bd4d582f7dbe98feaf10ef4dfabf4c2b1308ed,V2_T3_BASELINE,net_R,148,2020-02-25T11:00:00+03:00,2024-12-12T12:00:00+03:00,29,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,walk_forward,T3,H1,Si|CNY|GD|BR|MIX|NG,walk_forward_v2,TradingSystemLab/results/walk_forward_v2/T3/H1/trades.csv,f8e92c767aca913160cd321e7c4e90652fd7443a2c2c4b478d32be3b327dfb29,V2_T3_WF,net_R_C1,95,2024-02-14T18:00:00+03:00,2024-12-26T10:00:00+03:00,31,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,true_oos,T3,H1,Si|CNY|GD|BR|MIX|NG,true_oos_v2,TradingSystemLab/results/true_oos_v2/T3/H1/trades.csv,8aba877adb218dce4cda9be7bc2bdb07b6a760f3e0a341880db250f23c2e076c,V2_TRUE_OOS,R_result,327,2025-02-17T22:00:00+03:00,2026-09-14T20:00:00+03:00,16,true,true,true,true,true,true,true,true,true,false,true,true,true
v3,perpetual,baseline,T2,M30,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,perpetual_v3/baseline,TradingSystemLab/results/perpetual_v3/baseline/T2/M30/CNYRUBF/trades.csv,491bec26266e5911c415ba8e65d4def660aeb514b9099edf1e3eca0c13692f30,V3_T2_BASELINE,net_R,94,2023-01-23T10:00:00+03:00,2024-12-28T14:00:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
v3,perpetual,baseline,T2,M30,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,perpetual_v3/baseline,TradingSystemLab/results/perpetual_v3/baseline/T2/M30/GLDRUBF/trades.csv,44a7f2dcc68e75d431d2d89fbc4719c5ce713fcc1e14200ad636f0cb024528e2,V3_T2_BASELINE,net_R,86,2023-07-20T13:30:00+03:00,2024-12-28T10:30:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
v3,perpetual,baseline,T2,M30,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,perpetual_v3/baseline,TradingSystemLab/results/perpetual_v3/baseline/T2/M30/IMOEXF/trades.csv,62e3d39973f3b019fec8fad5fe933a601bfc27351173a4197c53170fda3476d3,V3_T2_BASELINE,net_R,72,2023-11-23T12:00:00+03:00,2024-12-17T23:30:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
v3,perpetual,baseline,T2,M30,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,perpetual_v3/baseline,TradingSystemLab/results/perpetual_v3/baseline/T2/M30/USDRUBF/trades.csv,35c0eda88cf9b26f4e1bb41b73fee769d1ce18411e141bcf2e4c5c7360dbc94d,V3_T2_BASELINE,net_R,114,2023-01-13T11:00:00+03:00,2024-12-25T10:30:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
v3,perpetual,walk_forward,T2,M30,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,perpetual_v3/walk_forward,TradingSystemLab/results/perpetual_v3/walk_forward/T2/M30/trades.csv,9e8d0342abae4aa999ef6b323be7c5ae369e429929dd62dcee3330e4171e4760,V3_T2_WF,net_R_C1,193,2024-01-12T10:30:00+03:00,2024-12-28T14:00:00+03:00,25,true,true,true,true,true,true,true,true,true,true,true,true,true
v3,perpetual,true_oos,T2,M30,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,perpetual_v3/true_oos,TradingSystemLab/results/perpetual_v3/true_oos/T2/M30/trades.csv,f3b9edf67503aedebc73a7d6cf9c7333f3b195fe924a09156c5bf4ba4b79352d,V3_TRUE_OOS,R_result,361,2025-01-15T13:30:00+03:00,2026-09-15T22:30:00+03:00,16,true,true,true,true,true,true,true,true,true,false,true,true,true
v3,perpetual,baseline,T2,H1,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,perpetual_v3/baseline,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv,13c2dd5ef08deef8c36787f13144f1bce42e8a192b409fef96ebc8eb8060c3e5,V3_T2_BASELINE,net_R,47,2023-01-23T16:00:00+03:00,2024-12-27T16:00:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
v3,perpetual,baseline,T2,H1,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,perpetual_v3/baseline,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/GLDRUBF/trades.csv,9b0b111d48f03c9cd3e2138a2f07122102a4c01f8f1b3642eee9070562c6af89,V3_T2_BASELINE,net_R,47,2023-07-31T13:00:00+03:00,2024-12-20T18:00:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
v3,perpetual,baseline,T2,H1,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,perpetual_v3/baseline,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/IMOEXF/trades.csv,2bdcea9e51fb6ab650a137660595d9136bf256b10a6172581b59b32a6c871505,V3_T2_BASELINE,net_R,29,2023-12-05T12:00:00+03:00,2024-12-11T20:00:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
v3,perpetual,baseline,T2,H1,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,perpetual_v3/baseline,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/USDRUBF/trades.csv,a49ec4233fa4bffa917c2db24abddfc6ccdfa4b7a9bc843ce10f306a5f3fdbcf,V3_T2_BASELINE,net_R,53,2023-02-01T10:00:00+03:00,2024-11-29T16:00:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
