generation,lifecycle_stage,strategy,timeframe,holding_bucket,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v1,true_oos,T3,M30,48–96h,8,3,5,0.375,26.543429714817,3.31792871435213,9.22044546777099,9.92412747673333,-0.6457905430766,-0.264899199228,6.28807342378159,14.3471077532,-1.00241582195,62.9375,63.75,0.556843661914625,0.5327973417935,4.90754416290741,0.8432308597745,true
v1,true_oos,T3,M30,6–12h,24,6,18,0.25,-4.83711154820974,-0.201546314508739,0.4072709058423,0.55393906516971,-0.453374774401556,-0.1959918948945,0.639746228983915,2.12701504011,-1.03765265354,8.52083333333333,7.5,0.527988500102083,0.5315590209155,1.25733640590621,1.317670449635,true
v1,walk_forward,T2,H1,12–24h,8,2,6,0.25,-2.280496777191,-0.285062097148875,0.46934151372174,1.008494009915,-0.716247466170167,-0.6158222683755,0.794944044241319,1.36394109806,-1.00592393587,18.875,18,0.357849635187212,0.3896047190315,0.883163373356375,0.468396935806,true
v1,walk_forward,T2,H1,1–3h,1,0,1,0,-1.00747536861,-1.00747536861,0,NA,-1.00747536861,-1.00747536861,0,-1.00747536861,-1.00747536861,2,2,0.971797918673,0.971797918673,0,0,true
v1,walk_forward,T2,H1,24–48h,8,4,4,0.5,1.22175840660729,0.152719800825911,1.65940155941824,0.768646879962323,-0.4632072783105,-0.197727136386355,0.789299016077786,1.77170063218,-0.554351713901,39.125,41,0.595680464867812,0.5988081523125,1.666301984877,1.297234138875,true
v1,walk_forward,T2,H1,3–6h,2,0,2,0,-2.05935829794,-1.02967914897,0,NA,-1.02967914897,-1.02967914897,0.0231933759899999,-1.00648577298,-1.05287252496,4,4,0.569440540282,0.569440540282,0.2853367333255,0.2853367333255,true
v1,walk_forward,T2,H1,48–96h,9,7,2,0.777777777777778,8.4926110614207,0.943623451268967,7.9106373378812,1.38878995781339,-0.6144593216365,1.41297840278,1.01956447381108,2.07386215506,-1.11000181041,70.2222222222222,69,0.3929255225005,0.34164261719,3.197984102006,2.88160666279,true
v1,walk_forward,T2,H1,6–12h,2,0,2,0,-1.544782999373,-0.7723914996865,0,NA,-0.7723914996865,-0.7723914996865,0.2355680729035,-0.536823426783,-1.00795957259,9,9,0.394999977246,0.394999977246,0.54605658210455,0.54605658210455,true
v1,walk_forward,T2,H1,>96h,3,3,0,1,24.13225703629,8.04408567876333,NA,8.04408567876333,NA,6.28675574227,5.41262489985219,15.3747740568,2.47072723722,127.666666666667,125,0.293883475695,0.179561832421,10.59825991821,8.80802055124,true
v1,walk_forward,T2,M30,12–24h,25,11,14,0.44,9.44368709036,0.3777474836144,2.60287108904711,1.39412901973627,-0.420838009052786,-0.14508633445,1.11376149522455,3.3906164739,-1.02749233241,17.98,18,0.425876179120972,0.474466743786,1.82550383489688,1.33389082231,true
v1,walk_forward,T2,M30,1–3h,16,1,15,0.0625,-12.210955294838,-0.763184705927375,0.0922359181313459,1.2407283956,-0.896778912695867,-1.008752572335,0.56188844511254,1.2407283956,-1.05979174723,1.875,2,0.557676107023125,0.6228435960695,0.529115000572681,0.198934965235,true
v1,walk_forward,T2,M30,24–48h,6,5,1,0.833333333333333,19.7827075956966,3.29711793261611,2190.70289955132,3.9583484042286,-0.00903442544637,3.35098302821,2.77127063195026,8.6411459116,-0.00903442544637,37.0833333333333,40.5,0.4571979466205,0.49811739228,4.70782816402417,4.88850728624,true
v1,walk_forward,T2,M30,3–6h,9,0,9,0,-8.117278737864,-0.901919859762667,0,NA,-0.901919859762667,-1.00932732237,0.224791688392936,-0.447555078504,-1.09861697982,3.77777777777778,3.5,0.630879488834889,0.659859572955,0.715372318141556,0.544004079352,true
v1,walk_forward,T2,M30,48–96h,1,1,0,1,0.490219264394,0.490219264394,NA,0.490219264394,NA,0.490219264394,0,0.490219264394,0.490219264394,68.5,68.5,0.633145958698,0.633145958698,1.81309979082,1.81309979082,true
v1,walk_forward,T2,M30,6–12h,6,3,3,0.5,0.088693929223,0.0147823215371667,1.04318463621151,0.714174857909333,-0.684610214835,0.1403945328015,0.721214955905405,0.730305724077,-1.01761798556,8,7.5,0.516933641847,0.640470905221,1.84907592445383,1.5707881326,true
v1,walk_forward,T2,M30,<1h,4,0,4,0,-1.783798417423,-0.44594960435575,0,NA,-0.44594960435575,-0.427874310544,0.216181942346133,-0.161970987873,-0.766078808462,0.5,0.5,0,0,0,0,true
v1,walk_forward,T3,H1,12–24h,9,2,7,0.222222222222222,-2.04371567003959,-0.227079518893288,0.569384055482597,1.35115655989539,-0.678004112832909,-0.444439266298587,1.03759861338216,2.51028100018397,-1.00452899369115,19,20,0.631880513827111,0.62836950324,1.20951645923556,0.862904062262,true
v1,walk_forward,T3,H1,1–3h,1,0,1,0,-1.04752562596437,-1.04752562596437,0,NA,-1.04752562596437,-1.04752562596437,0,-1.04752562596437,-1.04752562596437,2,2,1,1,0.166339690875,0.166339690875,true
v1,walk_forward,T3,H1,24–48h,6,4,2,0.666666666666667,15.8625403464841,2.64375672441402,10.3259728850276,4.39085990075144,-0.850449628260806,0.555009840347477,5.18820656316993,13.9644679247218,-0.987472735206444,32.6666666666667,27.5,0.356162201774,0.177452557422,4.657001056397,1.946255295615,true
v1,walk_forward,T3,H1,3–6h,2,0,2,0,-2.04631807554166,-1.02315903777083,0,NA,-1.02315903777083,-1.02315903777083,0.01796711477839,-1.00519192299244,-1.04112615254922,4,4,1,1,0.1238899968855,0.1238899968855,true
v1,walk_forward,T3,H1,48–96h,11,6,5,0.545454545454545,13.7468333105904,1.24971211914458,4.20755118510888,3.00543423157177,-0.857154415768039,0.30233225917775,2.99185438349065,9.38515743625346,-1.02980665274388,76.3636363636364,74,0.545534008359245,0.484538294004,2.85088130599564,1.79048388103,true
v1,walk_forward,T3,H1,6–12h,1,1,0,1,1.40208931331515,1.40208931331515,NA,1.40208931331515,NA,1.40208931331515,0,1.40208931331515,1.40208931331515,9,9,0.12753832787,0.12753832787,3.18845819674,3.18845819674,true
v1,walk_forward,T3,H1,>96h,4,4,0,1,7.03780128025645,1.75945032006411,NA,1.75945032006411,NA,1.48392875778227,0.897550979372238,3.2378942124443,0.832049552247618,111,110.5,0.46675024558975,0.368085903694,2.8943986637175,2.32383783047,true
