generation,lifecycle_stage,strategy,timeframe,entry_hour,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v2,true_oos,T2,H1,15,15,2,13,0.133333333333333,-6.579965570731,-0.438664371382067,0.206859745306646,0.8580638758615,-0.638161024804154,-0.393755682878,0.644491083211235,1.42938858102,-1.04525673048,18.7333333333333,20,0.457454451816373,0.501928253306,0.92654797534574,0.911192829079,true
v2,true_oos,T2,H1,16,7,3,4,0.428571428571429,-1.434537275768,-0.204933896538286,0.700829069758649,1.12016835292067,-1.1987605836325,-1.00000221367,1.37672529288353,2.65231930066,-1.76761027531,38.8571428571429,44,0.603808060753714,0.677935417387,1.30167581893929,1.16525010758,true
v2,true_oos,T2,H1,17,24,9,15,0.375,3.283741928651,0.136822580360458,1.30910213179181,1.54524746099367,-0.708232348019467,-0.4995995334475,1.47499554052577,4.47186685848,-1.04933602235,34.5833333333333,22.5,0.416139100099354,0.460940541407,1.32880756303393,0.769861103311,true
v2,true_oos,T2,H1,18,39,16,23,0.41025641025641,3.0548981221588,0.0783307210809949,1.19713048876355,1.15948315029843,-0.673775316635478,-0.219006375403,1.59707787363041,8.75473535575,-1.7252553008,29.7692307692308,24,0.372042470309859,0.361497857949,1.39911719206433,0.893029025044,false
v2,true_oos,T2,H1,19,26,15,11,0.576923076923077,22.372498030567,0.860480693483346,3.64224434698623,2.05598205613187,-0.769748437401,0.295744742262,2.73417050048723,12.8936279959,-1.81618667237,47.8846153846154,43.5,0.418235305725908,0.4253040593875,2.22565055304663,1.539845541845,true
v2,true_oos,T2,H1,20,33,18,15,0.545454545454545,15.9179375125325,0.482361742804015,2.62922025004458,1.42712317767927,-0.651351979046293,0.159637206871,1.50594086752154,4.55802557133,-1.05324343491,47.4545454545455,27,0.429817792523021,0.369376389996,1.67531373042536,1.18421167129,false
v2,true_oos,T2,H1,21,18,4,14,0.222222222222222,-6.1990422005748,-0.344391233365267,0.499218403618378,1.544922963271,-0.884195289547057,-0.6996355400135,1.19758991062188,2.89451849107,-2.51630612463,39.9444444444444,30,0.461896075827329,0.5467142888785,1.05593870580304,0.6171166534575,true
v2,true_oos,T2,H1,22,15,3,12,0.2,-6.475468293786,-0.4316978862524,0.391055625552241,1.38615195444667,-0.886160346427167,-1.00004275107,0.943836772908146,1.66778688875,-1.05007191652,20.7333333333333,15,0.408208385995027,0.446902356568,0.840538414399487,0.597461141365,true
v2,true_oos,T2,H1,23,11,5,6,0.454545454545455,-4.7570769303269,-0.432461539120627,0.360167584360508,0.53556052014042,-1.23914658850483,-0.381291297479,1.04266640666216,1.1946349603,-2.46999598045,20.6363636363636,17,0.448474323539764,0.320679506017,1.28730702848272,1.43267296156,true
v2,true_oos,T2,H1,7,1,0,1,0,-0.88484799293,-0.88484799293,0,NA,-0.88484799293,-0.88484799293,0,-0.88484799293,-0.88484799293,9,9,0.214678018915,0.214678018915,0.551557371673,0.551557371673,true
v2,true_oos,T2,H1,9,22,7,15,0.318181818181818,1.0141066035502,0.0460957547068273,1.09089291195335,1.73875212363843,-0.743810550794587,-0.6237496503535,1.59177174715051,5.93134806894,-1.0557075236,26.8181818181818,18,0.32269503943377,0.279897711589,1.55856632471775,1.1001259685905,true
v2,true_oos,T2,M30,0,3,0,3,0,-4.22260991717,-1.40753663905667,0,NA,-1.40753663905667,-1.04202444697,0.535033530938447,-1.01654022145,-2.16404524875,27.1666666666667,13.5,0.569769766510667,0.753754959024,0.863340015216667,1.01925796321,true
v2,true_oos,T2,M30,10,11,2,9,0.181818181818182,-6.626388294541,-0.602398935867364,0.110068973196062,0.409784429136,-0.827328572534778,-0.843874683835,0.517906923322863,0.548517978484,-1.00008445511,4.59090909090909,4,0.444211499538391,0.406420143125,0.508880368087046,0.316104555764,true
v2,true_oos,T2,M30,11,33,11,22,0.333333333333333,0.7616783599469,0.0230811624226333,1.04258126033553,1.69539280089254,-0.813074656812318,-0.623016024815,1.55432881718003,5.29052158015,-1.12836621154,12.1212121212121,5,0.448779442669152,0.458399320743,1.28330513871942,0.512107929316,false
v2,true_oos,T2,M30,12,45,13,32,0.288888888888889,16.7633018294404,0.372517818432009,1.68212826790089,3.17986933154985,-0.767968733772112,-0.679162563854,2.94238613186394,15.6279601249,-1.07104847052,10.5777777777778,5,0.438738937936355,0.43628882996,1.82125825772329,0.843397073623,false
v2,true_oos,T2,M30,13,32,8,24,0.25,-10.497205665294,-0.328037677040438,0.434529379323175,1.00830708430712,-0.773485930822958,-0.665741150877,0.896524628633635,2.39210401469,-1.0921442569,13.53125,4.25,0.594139781133287,0.6259462848705,0.932315280159075,0.5243225631845,false
v2,true_oos,T2,M30,14,35,10,25,0.285714285714286,6.3523523513913,0.181495781468323,1.33160573524532,2.55086927768423,-0.76625361701804,-0.628526269714,2.10860318798036,9.92624083113,-1.15185542286,10.1285714285714,6,0.435255038613163,0.417761922222,1.74744731030435,0.878738423523,false
